,Year,Total_t,Sector,Value_tonnes,Population,food_waste_per_capita
0,2015,1053700.0,Commercial,801200.0,4702487.0,224.07
1,2015,1053700.0,Households,252500.0,4702487.0,224.07
2,2016,1053700.0,Commercial,801200.0,4753503.0,221.67
3,2016,1053700.0,Households,252500.0,4753503.0,221.67
4,2017,1053700.0,Commercial,801200.0,4810261.0,219.05
5,2017,1053700.0,Households,252500.0,4810261.0,219.05
6,2018,1053700.0,Commercial,801200.0,4872556.0,216.25
7,2018,1053700.0,Households,252500.0,4872556.0,216.25
8,2019,1100020.0,Commercial,845275.0,4933491.0,222.97
9,2019,1100020.0,Households,254745.0,4933491.0,222.97
10,2020,770300.0,Commercial,529300.0,4982606.0,154.6
11,2020,770300.0,Households,241000.0,4982606.0,154.6
12,2021,753000.0,Commercial,532000.0,5028426.0,149.75
13,2021,753000.0,Households,221000.0,5028426.0,149.75
14,2022,749243.0,Commercial,529085.0,5110016.0,146.62
15,2022,749243.0,Households,220158.0,5110016.0,146.62
16,2023,834958.0,Commercial,614007.0,5196630.0,160.67
17,2023,834958.0,Households,220951.0,5196630.0,160.67
